No.,Time,Source,Destination,Protocol,Length,Info,Class
582,10.12488,Static,Local,TCP,60,ACK,browsing
584,10.124968,Local,Static,TCP,54,ACK,browsing
586,10.12537,Local,Static,TCP,54,ACK,browsing
588,10.125909,Local,Static,TCP,54,ACK,browsing
590,10.128618,Static,Local,TCP,60,ACK,browsing
592,10.129533,Static,Local,TCP,60,ACK,browsing
594,10.130547,Local,Static,TCP,54,ACK,browsing
596,10.131087,Static,Local,TCP,60,ACK,browsing
598,10.134312,Local,Static,TCP,54,ACK,browsing
600,10.137378,Static,Local,TCP,60,ACK,browsing
602,10.139075,Static,Local,TCP,60,ACK,browsing
604,10.139442,Static,Local,TCP,60,ACK,browsing
606,10.143271,Local,Static,TCP,54,ACK,browsing
608,10.143292,Local,Static,TCP,54,ACK,browsing
610,10.143841,Static,Local,TCP,60,ACK,browsing
612,10.144008,Local,Static,TCP,54,ACK,browsing
614,10.145183,Static,Local,TCP,60,ACK,browsing
616,10.145718,Static,Local,TCP,60,ACK,browsing
618,10.1507,Local,Static,TCP,54,ACK,browsing
620,10.150782,Local,Static,TCP,54,ACK,browsing
622,10.151155,Local,Static,TCP,54,FIN ACK,browsing
623,10.151199,Static,Local,TCP,60,ACK,browsing
624,10.151199,Static,Local,TCP,60,ACK,browsing
625,10.156139,Static,Local,TCP,60,FIN ACK,browsing
626,10.156176,Local,Static,TCP,54,ACK,browsing
627,10.239967,Local,CDN,TCP,54,TCP Dup ACK,browsing
628,10.240189,CDN,Local,TCP,60,TCP Dup ACK,browsing
629,10.496064,Local,CDN,TCP,54,TCP Dup ACK,browsing
630,10.496463,CDN,Local,TCP,60,TCP Dup ACK,browsing
632,10.591987,Google,Local,TCP,60,ACK,browsing
634,10.599249,Local,Google,TCP,54,ACK,browsing
636,10.599271,Local,Google,TCP,54,ACK,browsing
638,10.59981,Google,Local,TCP,60,ACK,browsing
640,10.611284,Google,Local,TCP,60,ACK,browsing
643,10.620641,Local,Google,TCP,54,ACK,browsing
645,10.620913,Google,Local,TCP,60,ACK,browsing
646,10.73361,Google,Local,TCP,7144,ACK,browsing
647,10.733677,Local,Google,TCP,54,ACK,browsing
648,10.733611,Google,Local,TCP,5726,ACK,browsing
649,10.733706,Local,Google,TCP,54,ACK,browsing
651,10.733761,Local,Google,TCP,54,ACK,browsing
653,10.733921,Local,Google,TCP,54,ACK,browsing
655,10.733942,Local,Google,TCP,54,ACK,browsing
656,10.734246,Google,Local,TCP,1472,ACK,browsing
657,10.734247,Google,Local,TCP,5734,ACK,browsing
658,10.734287,Local,Google,TCP,54,ACK,browsing
659,10.734375,Google,Local,TCP,2882,ACK,browsing
660,10.734386,Local,Google,TCP,54,ACK,browsing
662,10.734403,Local,Google,TCP,54,ACK,browsing
665,10.734985,Local,Google,TCP,54,ACK,browsing
668,10.750793,Local,Google,TCP,54,ACK,browsing
670,10.750977,Google,Local,TCP,60,ACK,browsing
675,11.154941,Local,Static,TCP,74,ACK,browsing
676,11.160287,Static,Local,TCP,60,ACK,browsing
677,11.160354,Local,Static,TCP,54,ACK,browsing
679,11.16282,Static,Local,TCP,60,ACK,browsing
681,11.168885,Local,Static,TCP,54,ACK,browsing
683,11.173064,Static,Local,TCP,60,ACK,browsing
685,11.179211,Local,Static,TCP,54,ACK,browsing
687,11.18127,Static,Local,TCP,60,ACK,browsing
690,11.181649,Static,Local,TCP,60,ACK,browsing
691,11.181729,Static,Local,TCP,60,ACK,browsing
693,11.186916,Local,Static,TCP,54,ACK,browsing
695,11.186948,Local,Static,TCP,54,ACK,browsing
697,11.187282,Static,Local,TCP,60,ACK,browsing
699,11.188816,Local,Static,TCP,54,ACK,browsing
701,11.189413,Static,Local,TCP,60,ACK,browsing
703,11.395599,Google,Local,TCP,60,ACK,browsing
707,11.401744,Local,Google,TCP,54,ACK,browsing
709,11.401975,Google,Local,TCP,60,ACK,browsing
713,11.476829,Google,Local,TCP,60,ACK,browsing
714,11.476829,Google,Local,TCP,60,ACK,browsing
715,11.476829,Google,Local,TCP,60,ACK,browsing
716,11.520032,Local,117.18.237.29,TCP,54,TCP Dup ACK,Unknown
717,11.52023,117.18.237.29,Local,TCP,60,TCP Dup ACK,Unknown
718,11.524006,Local,Amazon,TCP,54,TCP Dup ACK,browsing
719,11.524038,Local,Static,TCP,54,TCP Dup ACK,browsing
720,11.524182,CDN,Local,TCP,60,TCP Dup ACK,browsing
721,11.524182,Static,Local,TCP,60,TCP Dup ACK,browsing
723,11.551995,Google,Local,TCP,12816,ACK,browsing
724,11.552054,Local,Google,TCP,54,ACK,browsing
726,11.552158,Local,Google,TCP,54,ACK,browsing
729,11.553792,Google,Local,TCP,60,ACK,browsing
734,11.754345,Google,Local,TCP,60,ACK,browsing
738,11.757607,Local,Static,TCP,74,ACK,browsing
739,11.762899,Static,Local,TCP,60,ACK,browsing
740,11.76297,Local,Static,TCP,54,ACK,browsing
742,11.766046,Static,Local,TCP,60,ACK,browsing
747,11.771838,Local,Static,TCP,54,ACK,browsing
749,11.771968,Local,Static,TCP,54,ACK,browsing
750,11.775467,Local,Google,TCP,54,ACK,browsing
752,11.775787,Google,Local,TCP,60,ACK,browsing
753,11.776063,Local,117.18.237.29,TCP,54,TCP Dup ACK,Unknown
