Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits A to B,Bits B to A,classification
192.168.10.126,65392,192.168.10.1,53,17,1183,711,0,0,12,742,5,441,408.239186,0.047854,124043,73724,Admin
192.168.10.126,65393,192.168.10.1,53,17,1167,712,0,0,12,742,5,425,408.23946,0.045342,130916,74985,Admin
192.168.10.126,65394,192.168.10.1,53,17,1121,713,0,0,12,742,5,379,408.239678,0.04724,125656,64182,Admin
192.168.10.126,65395,79.127.213.244,443,86,32557,714,0,0,56,16980,30,15577,408.254437,78.98428,1719,1577,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65396,2001:db8:e612:837e:dbe7:9e8c:365a:bf93,443,10,860,715,0,0,10,860,0,0,413.278493,15.001491,458,0,Unclear
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65397,2001:db8:e612:837e:dbe7:9e8c:365a:bf93,443,10,860,716,0,0,10,860,0,0,413.278892,15.003714,458,0,Unclear
192.168.10.126,65398,192.168.10.1,53,22,1485,717,0,0,14,896,8,589,413.582515,0.446859,16040,10544,Admin
192.168.10.126,65399,192.168.10.1,53,24,1569,718,0,0,16,1004,8,565,413.582683,0.446691,17981,10118,Admin
192.168.10.126,65400,192.168.10.1,53,24,1610,719,0,0,16,1004,8,606,413.582793,0.446581,17985,10855,Admin
192.168.10.126,65401,192.168.10.1,53,15,1009,720,0,0,10,654,5,355,413.838799,0.202263,25867,14041,Admin
192.168.10.126,65402,192.168.10.1,53,17,1105,721,0,0,12,762,5,343,413.839021,0.206762,29483,13271,Admin
192.168.10.126,65403,192.168.10.1,53,15,1050,722,0,0,10,654,5,396,413.839346,0.244292,21416,12968,Admin
192.168.10.126,65404,192.168.10.1,53,15,1117,723,0,0,10,662,5,455,413.86935,0.214234,24720,16990,Admin
192.168.10.126,65405,192.168.10.1,53,15,1069,724,0,0,10,662,5,407,413.869584,0.566262,9352,5749,Admin
192.168.10.126,65406,192.168.10.1,53,17,1314,725,0,0,12,770,5,544,413.869726,0.22072,27908,19717,Admin
192.168.10.126,65407,192.168.10.1,53,15,1020,726,0,0,10,640,5,380,414.525821,0.055904,91585,54378,Admin
192.168.10.126,65408,192.168.10.1,53,17,1112,727,0,0,12,748,5,364,414.526534,0.055191,108423,52762,Admin
192.168.10.126,65409,192.168.10.1,53,17,1125,728,0,0,12,748,5,377,414.527248,0.054552,109693,55286,Admin
192.168.10.126,65410,192.168.10.1,53,15,1117,729,0,0,10,662,5,455,414.544303,0.053475,99036,68069,Admin
192.168.10.126,65411,192.168.10.1,53,18,1231,730,0,0,12,770,6,461,414.544905,0.540919,11388,6818,Admin
192.168.10.126,65412,192.168.10.1,53,18,1380,731,0,0,12,770,6,610,414.545224,0.540187,11403,9033,Admin
192.168.10.126,65413,192.168.10.1,53,18,1224,732,0,0,12,762,6,462,414.547105,0.538538,11319,6863,Admin
192.168.10.126,65414,192.168.10.1,53,20,1327,733,0,0,14,870,6,457,414.547925,0.537412,12950,6802,Admin
192.168.10.126,65415,192.168.10.1,53,18,1212,734,0,0,12,762,6,450,414.548186,0.537957,11331,6691,Admin
192.168.10.126,65416,192.168.10.1,53,7,462,735,0,0,2,132,5,330,414.614563,95.028181,11,27,Admin
192.168.10.126,65417,192.168.10.1,53,7,462,736,0,0,2,132,5,330,414.614852,94.209422,11,28,Admin
192.168.10.126,65418,192.168.10.1,53,7,462,737,0,0,2,132,5,330,414.615007,94.599356,11,27,Admin
192.168.10.126,65419,172.253.118.157,443,27,8498,738,0,0,18,2300,9,6198,414.621057,75.433254,243,657,Google
192.168.10.126,65420,192.168.10.1,53,17,1216,739,0,0,12,824,5,392,414.73793,0.353738,18635,8865,Admin
192.168.10.126,65421,192.168.10.1,53,20,1362,740,0,0,14,932,6,430,414.73809,0.357869,20834,9612,Admin
192.168.10.126,65422,192.168.10.1,53,20,1375,741,0,0,14,932,6,443,414.738189,0.356283,20927,9947,Admin
192.168.10.126,65423,192.168.10.1,53,17,1138,742,0,0,12,738,5,400,415.078641,0.025044,235745,127775,Admin
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65424,2406:3003:2003:1c3b:5aef:68ff:febf:8de0,53,2,172,743,0,0,2,172,0,0,415.079335,9.00E-06,,,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65425,2406:3003:2003:1c3b:5aef:68ff:febf:8de0,53,2,172,744,0,0,2,172,0,0,415.079751,6.00E-06,,,Google
192.168.10.126,65426,192.168.10.1,53,15,1018,745,0,0,10,630,5,388,415.553625,0.022913,219962,135468,Admin
192.168.10.126,65427,192.168.10.1,53,17,1167,746,0,0,12,738,5,429,415.553813,0.022766,259334,150751,Admin
192.168.10.126,65428,192.168.10.1,53,15,1080,747,0,0,10,652,5,428,419.210843,0.249648,20893,13715,Admin
192.168.10.126,65429,192.168.10.1,53,15,1048,748,0,0,10,652,5,396,419.211117,0.253913,20542,12476,Admin
192.168.10.126,65430,192.168.10.1,53,17,1176,749,0,0,12,760,5,416,419.211467,0.253565,23978,13124,Admin
192.168.10.126,65431,79.127.213.243,443,43,11796,750,0,0,28,4840,15,6956,419.371703,16.890286,2292,3294,Google
192.168.10.126,65432,79.127.213.244,443,34,8605,751,0,0,22,3132,12,5473,423.209485,11.149276,2247,3927,Google
192.168.10.126,65433,192.168.10.1,53,2,132,752,0,0,2,132,0,0,424.208082,1.10E-05,,,Admin
192.168.10.126,65434,192.168.10.1,53,15,1060,753,0,0,10,652,5,408,424.208457,0.031958,163214,102134,Admin
192.168.10.126,65435,192.168.10.1,53,17,1188,754,0,0,12,760,5,428,424.208682,0.031792,191243,107700,Admin
192.168.10.126,65436,192.168.10.1,53,17,1176,755,0,0,12,760,5,416,424.642485,0.035263,172418,94376,Admin
192.168.10.126,65437,192.168.10.1,53,17,1186,756,0,0,12,744,5,442,427.213475,0.062139,95785,56904,Admin
192.168.10.126,65438,192.168.10.1,53,15,1050,757,0,0,10,636,5,414,427.214118,0.031728,160363,104387,Admin
192.168.10.126,65439,192.168.10.1,53,17,1186,758,0,0,12,744,5,442,427.21472,0.06091,97717,58052,Admin
192.168.10.126,65440,10.91.202.189,7680,10,660,759,0,0,10,660,0,0,433.676197,15.003989,351,0,Unclear
192.168.10.126,65441,10.91.176.120,7680,10,660,760,0,0,10,660,0,0,433.679992,15.002371,351,0,Unclear
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65443,2001:db8:e612:837e:dbe7:9e8c:365a:bf93,443,10,860,761,0,0,10,860,0,0,434.280708,15.000615,458,0,Unclear
192.168.10.126,65445,79.127.213.243,443,39,12294,762,0,0,24,4624,15,7670,436.208423,20.058266,1844,3059,Google
